                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.1468,                0.85362,                 1.1655,                0.83718,                0.71361,                0.79195,                 0.5116,                 1.1321,                0.83067,                 1.1279,               0.006634,               0.006634,               0.006634
                     37,                 1.1203,                0.83642,                 1.1552,                0.84107,                0.76132,                0.84041,                0.55177,                 1.1035,                 0.8295,                 1.1089,               0.006535,               0.006535,               0.006535
                     38,                 1.1157,                0.82449,                 1.1513,                0.79216,                0.74915,                0.83081,                 0.5445,                 1.1405,                0.83228,                 1.1104,               0.006436,               0.006436,               0.006436
                     39,                  1.114,                0.79841,                 1.1487,                0.79148,                0.76218,                 0.8212,                0.55567,                 1.0985,                0.79754,                 1.1128,               0.006337,               0.006337,               0.006337
                     40,                 1.1197,                0.81154,                 1.1486,                 0.8244,                0.75278,                0.83066,                0.55675,                 1.1275,                0.79266,                 1.1279,               0.006238,               0.006238,               0.006238
                     41,                 1.0982,                0.79039,                  1.138,                0.80373,                0.77294,                0.83263,                0.56913,                 1.1018,                0.79635,                 1.0939,               0.006139,               0.006139,               0.006139
                     42,                 1.1088,                0.81316,                 1.1466,                0.78298,                0.75652,                0.82513,                0.55594,                  1.134,                 0.8101,                 1.0942,                0.00604,                0.00604,                0.00604
                     43,                  1.082,                0.78332,                 1.1241,                0.84935,                0.77678,                0.85664,                0.58719,                 1.0549,                0.74366,                 1.0676,               0.005941,               0.005941,               0.005941
                     44,                 1.0729,                0.76512,                 1.1272,                0.85182,                0.76865,                0.83071,                0.55998,                  1.114,                0.75478,                 1.0826,               0.005842,               0.005842,               0.005842
                     45,                 1.0673,                0.76261,                 1.1168,                 0.8498,                0.80218,                0.85602,                0.57211,                 1.1042,                0.73673,                 1.1074,               0.005743,               0.005743,               0.005743
                     46,                 1.0578,                0.76216,                 1.1166,                0.86196,                0.77262,                0.86278,                0.58365,                 1.0798,                0.73416,                 1.1122,               0.005644,               0.005644,               0.005644
                     47,                 1.0461,                0.74789,                 1.1036,                0.83982,                0.77924,                0.84553,                0.58347,                 1.0919,                0.76052,                 1.0787,               0.005545,               0.005545,               0.005545
                     48,                  1.045,                 0.7387,                 1.1057,                0.84581,                0.74594,                0.83805,                0.56409,                 1.1057,                0.75138,                 1.1045,               0.005446,               0.005446,               0.005446
                     49,                 1.0361,                 0.7321,                 1.1012,                0.75883,                0.78328,                0.84742,                 0.5814,                 1.0757,                 0.7318,                 1.1115,               0.005347,               0.005347,               0.005347
                     50,                  1.037,                0.72224,                 1.1113,                0.85142,                0.80105,                0.85987,                0.60194,                 1.0399,                0.71596,                 1.0609,               0.005248,               0.005248,               0.005248
                     51,                 1.0327,                0.71776,                 1.1027,                0.87446,                0.79673,                0.87529,                 0.6065,                 1.0451,                0.70151,                 1.0572,               0.005149,               0.005149,               0.005149
                     52,                 1.0299,                0.71097,                 1.1001,                0.87055,                0.79219,                0.87183,                0.59562,                 1.0538,                0.70156,                 1.0819,                0.00505,                0.00505,                0.00505
                     53,                 1.0134,                0.70254,                 1.0844,                0.84146,                0.78755,                0.86146,                0.59713,                 1.0656,                 0.7012,                 1.0833,               0.004951,               0.004951,               0.004951
                     54,                0.99779,                0.69969,                 1.0898,                 0.8953,                0.75555,                0.87162,                0.60834,                 1.0355,                   0.69,                 1.0537,               0.004852,               0.004852,               0.004852
                     55,                0.99385,                0.68598,                 1.0769,                0.85446,                  0.804,                0.85924,                0.58578,                 1.0671,                0.71544,                 1.0663,               0.004753,               0.004753,               0.004753
                     56,                      1,                0.69176,                 1.0908,                0.87353,                0.76966,                0.85367,                0.59565,                 1.0489,                0.69288,                 1.0752,               0.004654,               0.004654,               0.004654
                     57,                 0.9967,                0.69021,                 1.0858,                 0.8169,                0.79704,                0.85725,                0.60581,                 1.0166,                0.67422,                 1.0736,               0.004555,               0.004555,               0.004555
                     58,                0.98124,                0.68424,                 1.0827,                0.87965,                0.77925,                 0.8566,                0.59379,                 1.0517,                0.69325,                 1.0558,               0.004456,               0.004456,               0.004456
                     59,                0.98796,                0.67894,                 1.0805,                 0.8823,                 0.7957,                0.86554,                0.60911,                  1.047,                0.70112,                 1.0686,               0.004357,               0.004357,               0.004357
                     60,                0.97553,                0.66624,                 1.0755,                0.82026,                0.80302,                0.84283,                0.58411,                  1.059,                 0.6946,                 1.0662,               0.004258,               0.004258,               0.004258
                     61,                0.97297,                0.66171,                 1.0693,                0.80591,                0.83164,                0.85398,                0.60052,                 1.0409,                0.67698,                 1.0493,               0.004159,               0.004159,               0.004159
                     62,                0.95699,                 0.6568,                 1.0564,                0.81498,                0.82624,                0.85898,                 0.5999,                 1.0375,                0.68349,                  1.055,                0.00406,                0.00406,                0.00406
                     63,                0.95825,                0.65108,                 1.0667,                0.88832,                0.79064,                0.86471,                0.59336,                 1.0499,                0.67444,                 1.0606,               0.003961,               0.003961,               0.003961
                     64,                0.95916,                0.65732,                  1.064,                  0.885,                0.79892,                0.88066,                0.62115,                 1.0115,                0.65087,                 1.0529,               0.003862,               0.003862,               0.003862
                     65,                0.96409,                0.64638,                 1.0722,                0.89562,                0.79812,                0.87629,                0.61582,                 1.0005,                0.64766,                 1.0549,               0.003763,               0.003763,               0.003763
                     66,                0.94238,                0.64256,                 1.0603,                0.87589,                 0.8174,                0.87191,                 0.6237,                0.98555,                 0.6386,                 1.0414,               0.003664,               0.003664,               0.003664
                     67,                0.94324,                0.63999,                 1.0637,                 0.8875,                0.81545,                0.87528,                0.62236,                  1.022,                0.63823,                 1.0519,               0.003565,               0.003565,               0.003565
                     68,                0.93242,                0.62832,                 1.0575,                0.90972,                0.78274,                0.88474,                0.63171,                 1.0261,                0.64477,                 1.0445,               0.003466,               0.003466,               0.003466
                     69,                0.93165,                0.63054,                 1.0498,                0.86854,                0.82126,                0.88405,                0.64146,                0.99334,                0.64104,                 1.0434,               0.003367,               0.003367,               0.003367
                     70,                0.93183,                0.61407,                 1.0456,                0.90285,                0.80687,                0.88899,                0.63608,                 1.0151,                0.63625,                 1.0549,               0.003268,               0.003268,               0.003268
                     71,                0.91193,                0.61246,                 1.0368,                0.89398,                0.82813,                0.89645,                0.62832,                 1.0598,                0.63683,                 1.0692,               0.003169,               0.003169,               0.003169
                     72,                0.91999,                0.61005,                 1.0462,                0.88874,                0.80845,                0.87845,                0.63044,                 1.0255,                0.62933,                 1.0491,                0.00307,                0.00307,                0.00307
                     73,                0.90027,                0.60265,                  1.046,                0.88348,                 0.8017,                0.87575,                0.61845,                 1.0109,                 0.6245,                 1.0454,               0.002971,               0.002971,               0.002971
                     74,                0.90834,                0.60678,                 1.0388,                0.87446,                0.82862,                0.87874,                0.61771,                 1.0116,                0.63617,                 1.0452,               0.002872,               0.002872,               0.002872
